id,nombre,lon,lat
3,RETIRO,-34.5923,-58.375
5,ADUANA,-34.6114,-58.3691
6,DERECHO,-34.5837,-58.3912
7,PZA. ROMA,-34.6016,-58.3694
8,PLAZA ITALIA,-34.5802,-58.4207
9,PARQUE LEZAMA,-34.628,-58.3699
10,OBELISCO,-34.6063,-58.3811
15,CONGRESO,-34.6098,-58.3893
16,PARQUE LAS HERAS,-34.585,-58.4076
17,UCA PUERTO MADERO,-34.616,-58.3657
18,TRIBUNALES,-34.6013,-58.385
19,PLAZA VICENTE LOPEZ,-34.5934,-58.3897
20,ONCE,-34.6095,-58.4076
21,PACIFICO,-34.5775,-58.4262
22,VIRREY CEVALLOS,-34.6228,-58.3889
23,PLAZA HOUSSAY,-34.599,-58.3982
24,PZA. DE MAYO,-34.6099,-58.3747
25,PLAZA ALMAGRO,-34.6059,-58.4195
26,CMD,-34.6543,-58.3804
27,INDEPENDENCIA,-34.6179,-58.3805
28,PZA. SAN MARTIN,-34.595,-58.3783
30,DISTRITO AUDIOVISUAL,-34.5804,-58.4424
32,PARQUE PATRICIOS ,-34.6381,-58.4103
33,ARENALES,-34.5941,-58.3826
34,SUIPACHA,-34.6002,-58.3792
35,ALSINA ,-34.6106,-58.3809
36,EMMA DE LA BARRA,-34.6005,-58.3637
37,PLAZA GÃœEMES,-34.5896,-58.4164
38,MONTEVIDEO,-34.5995,-58.3897
39,PLAZA BOEDO,-34.623,-58.4123
40,PLAZA EMILIO MITRE,-34.5885,-58.3977
41,PARQUE CENTENARIO,-34.6085,-58.4344
