bicicletaid,usuarioid,origenfecha,origenestacionid,nombreorigen,destinofecha,destinoestacionid,nombredestino,tiempouso
36680,2152,2014-01-02 08:03:44.437,20,ONCE,2014-01-02 08:20:50.903,34,SUIPACHA,17
36680,2152,2014-01-02 08:33:59.873,34,SUIPACHA,2014-01-02 08:45:23.983,35,ALSINA ,11
91345,2224,2014-01-02 08:43:09.263,15,CONGRESO,2014-01-02 09:30:12.043,15,CONGRESO,47
54530,2330,2014-01-02 08:43:37.7,22,VIRREY CEVALLOS,2014-01-02 08:57:50.043,23,PLAZA HOUSSAY,14
16178,2079,2014-01-02 08:47:58.217,3,RETIRO,2014-01-02 08:58:13.81,36,EMMA DE LA BARRA,10
35636,2268,2014-01-02 09:30:17.607,22,VIRREY CEVALLOS,2014-01-02 10:08:25.78,10,OBELISCO,38
91345,2224,2014-01-02 09:32:03.043,15,CONGRESO,2014-01-02 10:11:29.733,15,CONGRESO,39
78866,594,2014-01-02 09:32:28.967,3,RETIRO,2014-01-02 09:47:01.25,18,TRIBUNALES,15
108953,2330,2014-01-02 09:48:32.437,23,PLAZA HOUSSAY,2014-01-02 10:40:38.717,40,PLAZA EMILIO MITRE,52
26374,1300,2014-01-02 09:52:08.717,7,PZA. ROMA,2014-01-02 10:15:41.107,7,PZA. ROMA,24
68837,2152,2014-01-02 09:53:34.53,35,ALSINA ,2014-01-02 10:30:41.857,6,DERECHO,37
103043,1802,2014-01-02 09:55:04.733,37,PLAZA GÜEMES,2014-01-02 10:43:08.64,37,PLAZA GÜEMES,48
52553,2137,2014-01-02 09:57:57.64,3,RETIRO,2014-01-02 10:08:46.577,7,PZA. ROMA,11
35636,1326,2014-01-02 10:09:22.78,10,OBELISCO,2014-01-02 10:46:23.217,7,PZA. ROMA,37
89639,1251,2014-01-02 10:21:08.53,20,ONCE,2014-01-02 10:49:15.42,7,PZA. ROMA,28
11028,1835,2014-01-02 10:23:26.187,3,RETIRO,2014-01-02 11:18:37.7,35,ALSINA ,55
68837,2152,2014-01-02 10:30:53.293,6,DERECHO,2014-01-02 11:14:17.84,35,ALSINA ,43
108953,2330,2014-01-02 10:41:08.42,40,PLAZA EMILIO MITRE,2014-01-02 11:30:30.39,19,PLAZA VICENTE LOPEZ,49
103043,1802,2014-01-02 10:43:19.7,37,PLAZA GÜEMES,2014-01-02 11:23:56.42,37,PLAZA GÜEMES,41
99966,2082,2014-01-02 10:44:17.92,22,VIRREY CEVALLOS,2014-01-02 10:45:27.717,22,VIRREY CEVALLOS,1
99966,1492,2014-01-02 10:45:55.92,22,VIRREY CEVALLOS,2014-01-02 11:06:16.827,35,ALSINA ,20
35636,2137,2014-01-02 10:47:27.653,7,PZA. ROMA,2014-01-02 11:32:31.903,28,PZA. SAN MARTIN,45
112488,2170,2014-01-02 10:54:11.293,24,PZA. DE MAYO,2014-01-02 11:36:18.14,7,PZA. ROMA,42
27681,1540,2014-01-02 10:54:27.123,35,ALSINA ,2014-01-02 10:57:56.42,24,PZA. DE MAYO,3
114152,2075,2014-01-02 10:57:31.187,15,CONGRESO,2014-01-02 11:39:29.623,33,ARENALES,42
91345,2224,2014-01-02 10:57:54.437,15,CONGRESO,2014-01-02 12:14:54.06,24,PZA. DE MAYO,77
22904,2593,2014-01-02 11:00:14.06,21,PACIFICO,2014-01-02 11:22:20.437,8,PLAZA ITALIA,22
26374,1728,2014-01-02 11:01:29.903,3,RETIRO,2014-01-02 11:35:04.31,38,MONTEVIDEO,34
47164,594,2014-01-02 11:07:06.483,18,TRIBUNALES,2014-01-02 11:16:58.513,23,PLAZA HOUSSAY,10
111509,2069,2014-01-02 11:08:55.34,22,VIRREY CEVALLOS,2014-01-02 11:17:45.67,15,CONGRESO,9
68837,2152,2014-01-02 11:14:29.293,35,ALSINA ,2014-01-02 11:55:41.34,10,OBELISCO,41
48081,2241,2014-01-02 11:14:38.25,28,PZA. SAN MARTIN,2014-01-02 12:02:08.107,28,PZA. SAN MARTIN,47
11028,1835,2014-01-02 11:18:55.623,35,ALSINA ,2014-01-02 11:47:38.263,24,PZA. DE MAYO,29
35921,2593,2014-01-02 11:22:48.543,8,PLAZA ITALIA,2014-01-02 13:01:44.013,37,PLAZA GÜEMES,99
103043,1802,2014-01-02 11:24:06.14,37,PLAZA GÜEMES,2014-01-02 12:12:24.03,37,PLAZA GÜEMES,48
49619,2203,2014-01-02 11:25:06.043,3,RETIRO,2014-01-02 11:52:37.483,23,PLAZA HOUSSAY,28
103069,2303,2014-01-02 11:25:23.233,3,RETIRO,2014-01-02 11:47:38.013,10,OBELISCO,22
60135,2365,2014-01-02 11:26:15.327,28,PZA. SAN MARTIN,2014-01-02 12:12:25.123,3,RETIRO,46
52199,2285,2014-01-02 11:26:46.75,28,PZA. SAN MARTIN,2014-01-02 12:10:05.14,28,PZA. SAN MARTIN,43
72414,2126,2014-01-02 11:26:56.717,33,ARENALES,2014-01-02 11:36:30.013,34,SUIPACHA,10
9976,1540,2014-01-02 11:29:07.81,24,PZA. DE MAYO,2014-01-02 12:22:26.217,35,ALSINA ,53
108953,2330,2014-01-02 11:31:47.013,19,PLAZA VICENTE LOPEZ,2014-01-02 12:16:52.357,19,PLAZA VICENTE LOPEZ,45
